X-axis,Y-axis,p_f,R2_f,N_f,lower bound 95% CI female,upper bound 95% CI female,Standard error female,RMSE_female,p_m,R2_m,N_m,lower bound 95% CI male,upper bound 95% CI male,Standard error male,RMSE_male
Apparent Modulus Demineralized / MPa,Organic weight fraction / -,0.489,0.01,39,-4.82e-05,9.89e-05,0.009,[0.00843849],0.5,0.02,31,-1.12e-04,5.58e-05,0.009,[0.00839075]
Apparent Modulus Demineralized / MPa,Water weight fraction / -,0.402,0.02,39,-5.95e-05,1.45e-04,0.012,[0.01173161],0.416,0.02,31,-1.11e-04,2.62e-04,0.019,[0.018685]
Apparent Modulus Demineralized / MPa,Bone Volume Fraction / -,0.774,2.2e-03,39,-3.78e-04,5.04e-04,0.052,[0.05062867],0.166,0.06,31,-5.20e-04,9.38e-05,0.032,[0.03069973]
Apparent Modulus Demineralized / MPa,Bone Mineral Density / mg HA / cm³,0.675,4.8e-03,39,-0.6,0.393,58.5,[56.98159743],0.06,0.12,31,-0.811,0.018,42.9,[41.51075706]
Apparent Modulus Demineralized / MPa,Tissue Mineral Density / mg HA / cm³,0.003,0.22,39,-0.306,-0.069,14.0,[13.60014854],0.089,0.1,31,-0.38,0.029,21.1,[20.44091992]
Apparent Modulus Demineralized / MPa,Mineral to Matrix Ratio v2/a3 / -,0.311,0.03,39,-6.02e-04,1.97e-04,0.047,[0.04583648],0.061,0.12,31,-2.16e-05,8.71e-04,0.046,[0.04467427]
Apparent Modulus Demineralized / MPa,Mineral to Matrix Ratio v1/a1 / -,0.329,0.03,39,-0.001,4.84e-04,0.112,[0.10863983],0.522,0.01,31,-0.001,6.04e-04,0.092,[0.08851733]
Apparent Modulus Demineralized / MPa,Crystallinity / -,0.053,0.1,39,-7.22e-06,5.20e-08,4.3e-04,[0.00041704],0.829,1.6e-03,31,-3.57e-06,4.42e-06,4.1e-04,[0.00040021]
Apparent Modulus Demineralized / MPa,Collagen dis/order / -,0.441,0.02,39,-6.52e-04,2.90e-04,0.055,[0.05403582],0.623,8.4e-03,31,-5.06e-04,3.08e-04,0.042,[0.04073929]
Apparent Modulus Demineralized / MPa,Matrix maturity / -,0.581,8.3e-03,39,-7.42e-04,4.22e-04,0.069,[0.06677811],0.988,7.7e-06,31,-5.37e-04,5.45e-04,0.056,[0.05415592]
Apparent Modulus Demineralized / MPa,Relative Pyridinoline Content / -,0.253,0.04,39,-4.96e-06,1.35e-06,3.7e-04,[0.00036182],0.73,4.2e-03,31,-3.16e-06,2.24e-06,2.8e-04,[0.00026982]
Apparent Modulus Demineralized / MPa,Relative Proteoglycan Content / -,0.55,0.01,38,-6.41e-05,3.47e-05,0.006,[0.0056229],0.119,0.08,30,-9.17e-06,7.62e-05,0.004,[0.00423281]
Apparent Modulus Demineralized / MPa,Relative Lipid Content / -,0.759,2.6e-03,39,-5.71e-04,4.19e-04,0.058,[0.05682229],0.969,5.5e-05,31,-4.70e-04,4.52e-04,0.048,[0.04617094]
Density / g/cm³,Modulus Demineralized / MPa,0.014,0.15,39,-743,-87.8,40.1,[39.04272622],0.589,0.01,31,-483,279,44.3,[42.81997107]
Mineral weight fraction / -,Modulus Demineralized / MPa,0.008,0.17,39,-3218,-510,39.6,[38.52399143],0.418,0.02,31,-1458,623,44.0,[42.54820973]
Organic weight fraction / -,Modulus Demineralized / MPa,0.484,0.01,39,-1075,2227,43.2,[42.09957549],0.301,0.04,31,-2874,920,43.7,[42.23892608]
Water weight fraction / -,Modulus Demineralized / MPa,0.123,0.06,39,-256,2051,42.1,[41.02738289],0.257,0.04,31,-368,1323,43.5,[42.08226592]
Bone Volume Fraction / -,Modulus Demineralized / MPa,0.123,0.06,39,-480,59.7,42.1,[41.02591305],0.015,0.19,31,-1050,-121,40.1,[38.81923832]
Bone Mineral Density / mg HA / cm³,Modulus Demineralized / MPa,0.028,0.12,39,-0.493,-0.03,40.7,[39.66141973],0.005,0.24,31,-0.8,-0.155,38.8,[37.51910705]
Tissue Mineral Density / mg HA / cm³,Modulus Demineralized / MPa,5.2e-04,0.28,39,-2.2,-0.683,36.9,[35.93743063],0.063,0.11,31,-1.4,0.04,41.9,[40.51478068]
Mineral to Matrix Ratio v2/a3 / -,Modulus Demineralized / MPa,0.086,0.08,39,-545,38.0,41.8,[40.70870691],0.051,0.12,31,-1.6,642,41.6,[40.26161135]
Mineral to Matrix Ratio v1/a1 / -,Modulus Demineralized / MPa,0.276,0.03,39,-195,57.3,42.8,[41.69851188],0.566,0.01,31,-234,131,44.2,[42.79243723]
Crystallinity / -,Modulus Demineralized / MPa,0.067,0.09,39,-59310,2133,41.6,[40.48251076],0.732,4.1e-03,31,-33849,47604,44.4,[42.95161269]
Collagen dis/order / -,Modulus Demineralized / MPa,0.577,8.5e-03,39,-330,186,43.3,[42.202228],0.451,0.02,31,-543,248,44.1,[42.61300696]
Matrix maturity / -,Modulus Demineralized / MPa,0.592,7.8e-03,39,-266,154,43.3,[42.21670341],0.917,3.8e-04,31,-286,317,44.5,[43.03160092]
Relative Pyridinoline Content / -,Modulus Demineralized / MPa,0.253,0.04,39,-59208,16089,42.7,[41.63209658],0.623,8.4e-03,31,-74807,45592,44.3,[42.85824402]
Relative Proteoglycan Content / -,Modulus Demineralized / MPa,0.739,3.1e-03,38,-2981,2133,43.9,[42.75563855],0.126,0.08,30,-845,6469,43.3,[41.78830048]
Relative Lipid Content / -,Modulus Demineralized / MPa,0.711,3.7e-03,39,-293,202,43.4,[42.30334935],0.977,2.8e-05,31,-349,359,44.5,[43.03924366]
Density / g/cm³,Mineral weight fraction / -,6.1e-13,0.7,45,0.131,0.196,0.006,[0.00557154],3.0e-18,0.91,34,0.307,0.386,0.005,[0.00448826]
Density / g/cm³,Organic weight fraction / -,0.156,0.05,45,-0.014,0.085,0.009,[0.0084298],0.142,0.07,34,-0.019,0.125,0.008,[0.00821171]
Density / g/cm³,Water weight fraction / -,9.1e-10,0.59,45,-0.251,-0.148,0.009,[0.00878862],1.5e-13,0.82,34,-0.466,-0.333,0.008,[0.00762178]
Density / g/cm³,Bone Volume Fraction / -,4.9e-07,0.47,42,0.571,1.2,0.037,[0.03567898],0.018,0.16,34,0.055,0.551,0.029,[0.02833567]
Density / g/cm³,Bone Mineral Density / mg HA / cm³,9.0e-09,0.57,42,766,1361,37.4,[36.53534493],0.006,0.22,34,154,821,39.2,[38.04667678]
Density / g/cm³,Tissue Mineral Density / mg HA / cm³,0.001,0.24,42,80.7,300,13.8,[13.47927068],0.003,0.24,34,89.2,414,19.1,[18.53928092]
Density / g/cm³,Mineral to Matrix Ratio v2/a3 / -,0.002,0.2,45,0.145,0.621,0.042,[0.04057613],0.531,0.01,34,-0.277,0.527,0.047,[0.04584761]
Density / g/cm³,Mineral to Matrix Ratio v1/a1 / -,0.17,0.04,45,-0.187,1.0,0.106,[0.10342457],8.3e-04,0.3,34,0.559,1.9,0.081,[0.07865698]
Density / g/cm³,Crystallinity / -,0.634,5.3e-03,45,-0.002,0.003,4.3e-04,[0.0004249],0.809,1.9e-03,34,-0.003,0.004,4.0e-04,[0.00038712]
Density / g/cm³,Collagen dis/order / -,0.535,9.0e-03,45,-0.394,0.208,0.053,[0.0513677],0.148,0.06,34,-0.095,0.604,0.041,[0.03986406]
Density / g/cm³,Matrix maturity / -,0.73,2.8e-03,45,-0.311,0.441,0.066,[0.06415676],0.227,0.05,34,-0.748,0.184,0.055,[0.05316696]
Density / g/cm³,Relative Pyridinoline Content / -,0.822,1.2e-03,45,-0.002,0.002,3.6e-04,[0.00035646],0.912,3.9e-04,34,-0.002,0.003,2.8e-04,[0.00027216]
Density / g/cm³,Relative Proteoglycan Content / -,0.743,2.6e-03,44,-0.028,0.04,0.006,[0.00569805],0.489,0.02,33,-0.059,0.029,0.005,[0.00495144]
Density / g/cm³,Relative Lipid Content / -,0.989,4.7e-06,45,-0.31,0.314,0.054,[0.05323611],0.534,0.01,34,-0.509,0.963,0.087,[0.08395952]
Mineral weight fraction / -,Organic weight fraction / -,0.794,1.6e-03,45,-0.225,0.293,0.009,[0.00862531],0.468,0.02,34,-0.13,0.277,0.009,[0.00842623]
Mineral weight fraction / -,Water weight fraction / -,4.0e-10,0.6,45,-1.3,-0.775,0.009,[0.00862531],3.7e-12,0.78,34,-1.3,-0.87,0.009,[0.00842623]
Mineral weight fraction / -,Bone Volume Fraction / -,0.001,0.23,42,1.1,4.1,0.044,[0.0431967],0.089,0.09,34,-0.098,1.3,0.03,[0.02956084]
Mineral weight fraction / -,Bone Mineral Density / mg HA / cm³,3.5e-05,0.35,42,2031,5143,45.8,[44.6680059],0.012,0.18,34,293,2169,40.1,[38.87367712]
Mineral weight fraction / -,Tissue Mineral Density / mg HA / cm³,3.3e-04,0.28,42,429,1342,13.4,[13.09761906],1.4e-04,0.37,34,455,1270,17.4,[16.88166193]
Mineral weight fraction / -,Mineral to Matrix Ratio v2/a3 / -,5.8e-06,0.38,45,1.7,3.8,0.036,[0.03555655],0.371,0.03,34,-0.61,1.6,0.047,[0.04555284]
Mineral weight fraction / -,Mineral to Matrix Ratio v1/a1 / -,0.031,0.1,45,0.315,6.3,0.102,[0.1001223],4.5e-04,0.32,34,1.7,5.4,0.08,[0.0772235]
Mineral weight fraction / -,Crystallinity / -,0.524,9.5e-03,45,-0.009,0.017,4.3e-04,[0.000424],0.427,0.02,34,-0.006,0.013,4.0e-04,[0.00038362]
Mineral weight fraction / -,Collagen dis/order / -,0.173,0.04,45,-2.6,0.475,0.052,[0.05048638],0.312,0.03,34,-0.485,1.5,0.042,[0.04054742]
Mineral weight fraction / -,Matrix maturity / -,0.382,0.02,45,-1.1,2.7,0.065,[0.06367231],0.059,0.11,34,-2.4,0.046,0.053,[0.05141283]
Mineral weight fraction / -,Relative Pyridinoline Content / -,0.867,6.6e-04,45,-0.012,0.01,3.6e-04,[0.00035656],0.526,0.01,34,-0.009,0.004,2.8e-04,[0.00027048]
Mineral weight fraction / -,Relative Proteoglycan Content / -,0.701,3.5e-03,44,-0.204,0.139,0.006,[0.00569535],0.782,2.5e-03,33,-0.138,0.105,0.005,[0.00498425]
Mineral weight fraction / -,Relative Lipid Content / -,0.849,8.5e-04,45,-1.7,1.4,0.054,[0.05321367],0.226,0.05,34,-0.784,3.2,0.085,[0.08253103]
Organic weight fraction / -,Water weight fraction / -,7.3e-07,0.44,45,-1.4,-0.683,0.01,[0.01023465],3.7e-04,0.33,34,-1.9,-0.599,0.015,[0.01479718]
Organic weight fraction / -,Bone Volume Fraction / -,0.969,3.8e-05,42,-1.8,1.9,0.05,[0.04914723],0.066,0.1,34,-0.082,2.4,0.03,[0.02933699]
Organic weight fraction / -,Bone Mineral Density / mg HA / cm³,0.717,3.3e-03,42,-2438,1691,56.8,[55.38924491],0.553,0.01,34,-1278,2345,44.1,[42.75284009]
Organic weight fraction / -,Tissue Mineral Density / mg HA / cm³,0.046,0.1,42,-1103,-10.0,15.0,[14.65652416],0.115,0.08,34,-1553,176,21.0,[20.40708988]
Organic weight fraction / -,Mineral to Matrix Ratio v2/a3 / -,0.7,3.5e-03,45,-1.9,1.3,0.046,[0.04520352],0.043,0.12,34,-3.7,-0.067,0.045,[0.04322156]
Organic weight fraction / -,Mineral to Matrix Ratio v1/a1 / -,0.95,9.2e-05,45,-3.6,3.9,0.108,[0.10573722],0.12,0.07,34,-6.8,0.823,0.093,[0.09036089]
Organic weight fraction / -,Crystallinity / -,0.28,0.03,45,-0.023,0.007,4.3e-04,[0.00042023],0.017,0.16,34,-0.034,-0.004,3.7e-04,[0.00035412]
Organic weight fraction / -,Collagen dis/order / -,0.036,0.1,45,0.124,3.6,0.05,[0.04901149],0.118,0.07,34,-0.353,3.0,0.041,[0.03963858]
Organic weight fraction / -,Matrix maturity / -,0.059,0.08,45,-4.3,0.088,0.063,[0.06161641],0.893,5.7e-04,34,-2.2,2.5,0.056,[0.05439895]
Organic weight fraction / -,Relative Pyridinoline Content / -,0.59,6.8e-03,45,-0.016,0.009,3.6e-04,[0.00035546],0.254,0.04,34,-0.005,0.018,2.7e-04,[0.00026665]
Organic weight fraction / -,Relative Proteoglycan Content / -,0.318,0.02,44,-0.309,0.103,0.006,[0.00563728],0.136,0.07,33,-0.358,0.051,0.005,[0.00481205]
Organic weight fraction / -,Relative Lipid Content / -,0.569,7.6e-03,45,-1.4,2.4,0.054,[0.05303338],0.024,0.15,34,-7.1,-0.529,0.08,[0.07794954]
Water weight fraction / -,Bone Volume Fraction / -,0.015,0.14,42,-2.8,-0.321,0.047,[0.04558512],0.021,0.16,34,-1.2,-0.108,0.029,[0.02844642]
Water weight fraction / -,Bone Mineral Density / mg HA / cm³,0.006,0.17,42,-3315,-595,51.7,[50.41468278],0.019,0.16,34,-1738,-171,40.6,[39.37188218]
Water weight fraction / -,Tissue Mineral Density / mg HA / cm³,0.243,0.03,42,-648,169,15.5,[15.1490278],0.031,0.14,34,-827,-42.4,20.3,[19.71756536]
Water weight fraction / -,Mineral to Matrix Ratio v2/a3 / -,0.003,0.18,45,-2.3,-0.494,0.042,[0.04094631],0.85,1.1e-03,34,-0.832,1.0,0.048,[0.04610804]
Water weight fraction / -,Mineral to Matrix Ratio v1/a1 / -,0.101,0.06,45,-4.2,0.393,0.105,[0.1024577],0.048,0.12,34,-3.5,-0.015,0.091,[0.0882619]
Water weight fraction / -,Crystallinity / -,0.841,9.5e-04,45,-0.009,0.011,4.4e-04,[0.00042583],0.675,5.5e-03,34,-0.006,0.009,4.0e-04,[0.0003864]
Water weight fraction / -,Collagen dis/order / -,0.781,1.8e-03,45,-1.3,1.0,0.053,[0.05155364],0.115,0.08,34,-1.4,0.16,0.041,[0.03961313]
Water weight fraction / -,Matrix maturity / -,0.606,6.2e-03,45,-1.1,1.8,0.066,[0.0640458],0.139,0.07,34,-0.268,1.8,0.054,[0.05256052]
Water weight fraction / -,Relative Pyridinoline Content / -,0.641,5.1e-03,45,-0.006,0.01,3.6e-04,[0.00035577],0.993,2.7e-06,34,-0.005,0.005,2.8e-04,[0.00027221]
Water weight fraction / -,Relative Proteoglycan Content / -,0.357,0.02,44,-0.07,0.189,0.006,[0.00564753],0.354,0.03,33,-0.053,0.144,0.005,[0.00492088]
Water weight fraction / -,Relative Lipid Content / -,0.828,1.1e-03,45,-1.3,1.1,0.054,[0.05320672],0.978,2.5e-05,34,-1.7,1.7,0.087,[0.08447581]
Bone Volume Fraction / -,Bone Mineral Density / mg HA / cm³,1.4e-23,0.92,42,981,1185,16.1,[15.67070816],2.8e-13,0.82,34,1039,1469,19.0,[18.47703183]
Bone Volume Fraction / -,Tissue Mineral Density / mg HA / cm³,0.079,0.08,42,-10.4,182,15.2,[14.82178204],0.06,0.11,34,-9.9,457,20.7,[20.06920868]
Bone Volume Fraction / -,Mineral to Matrix Ratio v2/a3 / -,0.017,0.14,42,0.066,0.621,0.044,[0.04269336],0.486,0.02,34,-0.717,0.348,0.047,[0.04577987]
Bone Volume Fraction / -,Mineral to Matrix Ratio v1/a1 / -,0.581,7.7e-03,42,-0.502,0.883,0.109,[0.1064769],0.568,0.01,34,-0.779,1.4,0.096,[0.09341721]
Bone Volume Fraction / -,Crystallinity / -,0.813,1.4e-03,42,-0.003,0.002,4.4e-04,[0.00042747],0.456,0.02,34,-0.006,0.003,4.0e-04,[0.00038408]
Bone Volume Fraction / -,Collagen dis/order / -,0.749,2.6e-03,42,-0.397,0.288,0.054,[0.05267369],0.096,0.08,34,-0.072,0.845,0.041,[0.03943604]
Bone Volume Fraction / -,Matrix maturity / -,0.9,4.0e-04,42,-0.454,0.4,0.067,[0.06566608],0.374,0.02,34,-0.902,0.349,0.055,[0.05373714]
Bone Volume Fraction / -,Relative Pyridinoline Content / -,0.802,1.6e-03,42,-0.002,0.003,3.7e-04,[0.00036286],0.596,8.9e-03,34,-0.002,0.004,2.8e-04,[0.000271]
Bone Volume Fraction / -,Relative Proteoglycan Content / -,0.273,0.03,41,-0.055,0.016,0.006,[0.00537383],0.778,2.6e-03,33,-0.066,0.05,0.005,[0.00498402]
Bone Volume Fraction / -,Relative Lipid Content / -,0.866,7.2e-04,42,-0.327,0.387,0.056,[0.05496038],0.7,4.7e-03,34,-0.793,1.2,0.087,[0.08427799]
Bone Mineral Density / mg HA / cm³,Tissue Mineral Density / mg HA / cm³,6.1e-04,0.26,42,0.064,0.217,13.6,[13.28352431],1.6e-05,0.45,34,0.197,0.462,16.3,[15.8004719]
Bone Mineral Density / mg HA / cm³,Mineral to Matrix Ratio v2/a3 / -,0.002,0.22,42,1.53e-04,6.21e-04,0.042,[0.0405819],0.758,3.0e-03,34,-3.27e-04,4.45e-04,0.047,[0.04606485]
Bone Mineral Density / mg HA / cm³,Mineral to Matrix Ratio v1/a1 / -,0.144,0.05,42,-1.58e-04,0.001,0.107,[0.1040436],0.192,0.05,34,-2.65e-04,0.001,0.094,[0.09139984]
Bone Mineral Density / mg HA / cm³,Crystallinity / -,0.912,3.1e-04,42,-2.60e-06,2.33e-06,4.4e-04,[0.00042771],0.967,5.6e-05,34,-3.18e-06,3.31e-06,4.0e-04,[0.00038747]
Bone Mineral Density / mg HA / cm³,Collagen dis/order / -,0.579,7.8e-03,42,-3.86e-04,2.19e-04,0.054,[0.05253723],0.061,0.11,34,-1.50e-05,6.38e-04,0.04,[0.03897396]
Bone Mineral Density / mg HA / cm³,Matrix maturity / -,0.877,6.1e-04,42,-3.49e-04,4.07e-04,0.067,[0.06565932],0.031,0.14,34,-8.93e-04,-4.62e-05,0.052,[0.05053333]
Bone Mineral Density / mg HA / cm³,Relative Pyridinoline Content / -,0.785,1.9e-03,42,-1.81e-06,2.37e-06,3.7e-04,[0.0003628],0.746,3.3e-03,34,-2.64e-06,1.91e-06,2.8e-04,[0.00027176]
Bone Mineral Density / mg HA / cm³,Relative Proteoglycan Content / -,0.334,0.02,41,-4.66e-05,1.62e-05,0.006,[0.00539257],0.764,2.9e-03,33,-3.56e-05,4.80e-05,0.005,[0.00498319]
Bone Mineral Density / mg HA / cm³,Relative Lipid Content / -,0.725,3.1e-03,42,-3.72e-04,2.61e-04,0.056,[0.05489395],0.379,0.02,34,-3.93e-04,0.001,0.086,[0.08344602]
Tissue Mineral Density / mg HA / cm³,Mineral to Matrix Ratio v2/a3 / -,8.2e-04,0.25,42,6.53e-04,0.002,0.041,[0.0398504],0.141,0.07,34,-1.96e-04,0.001,0.046,[0.04457518]
Tissue Mineral Density / mg HA / cm³,Mineral to Matrix Ratio v1/a1 / -,6.6e-04,0.25,42,0.002,0.005,0.095,[0.09229305],0.009,0.19,34,5.11e-04,0.003,0.087,[0.08436638]
Tissue Mineral Density / mg HA / cm³,Crystallinity / -,0.594,7.2e-03,42,-6.48e-06,1.12e-05,4.4e-04,[0.00042623],0.048,0.12,34,7.02e-08,1.24e-05,3.8e-04,[0.00036408]
Tissue Mineral Density / mg HA / cm³,Collagen dis/order / -,0.435,0.02,42,-0.002,6.61e-04,0.054,[0.05233612],0.301,0.03,34,-3.33e-04,0.001,0.042,[0.04051668]
Tissue Mineral Density / mg HA / cm³,Matrix maturity / -,0.38,0.02,42,-7.57e-04,0.002,0.067,[0.06504253],0.002,0.27,34,-0.002,-5.38e-04,0.048,[0.04654596]
Tissue Mineral Density / mg HA / cm³,Relative Pyridinoline Content / -,0.882,5.6e-04,42,-6.97e-06,8.09e-06,3.7e-04,[0.00036304],0.058,0.11,34,-8.57e-06,1.54e-07,2.7e-04,[0.00025714]
Tissue Mineral Density / mg HA / cm³,Relative Proteoglycan Content / -,0.624,6.2e-03,41,-8.54e-05,1.41e-04,0.006,[0.00544137],0.352,0.03,33,-4.61e-05,1.26e-04,0.005,[0.00492007]
Tissue Mineral Density / mg HA / cm³,Relative Lipid Content / -,0.124,0.06,42,-0.002,2.46e-04,0.055,[0.05335616],0.048,0.12,34,1.41e-05,0.003,0.082,[0.07938518]
Mineral to Matrix Ratio v2/a3 / -,Crystallinity / -,0.986,7.0e-06,45,-0.003,0.003,4.4e-04,[0.00042603],0.901,4.9e-04,34,-0.003,0.003,4.0e-04,[0.00038738]
Mineral to Matrix Ratio v2/a3 / -,Collagen dis/order / -,0.002,0.2,45,-0.826,-0.201,0.047,[0.04606563],0.842,1.3e-03,34,-0.29,0.353,0.042,[0.04118386]
Mineral to Matrix Ratio v2/a3 / -,Matrix maturity / -,0.574,7.4e-03,45,-0.557,0.312,0.065,[0.06400745],0.006,0.21,34,-0.922,-0.169,0.05,[0.0482517]
Mineral to Matrix Ratio v2/a3 / -,Relative Pyridinoline Content / -,0.029,0.11,45,-0.005,-2.71e-04,3.5e-04,[0.00033729],0.007,0.21,34,-0.005,-8.08e-04,2.5e-04,[0.0002421]
Mineral to Matrix Ratio v2/a3 / -,Relative Proteoglycan Content / -,0.541,9.0e-03,44,-0.027,0.052,0.006,[0.00567986],0.087,0.09,33,-0.005,0.069,0.005,[0.00475593]
Mineral to Matrix Ratio v2/a3 / -,Relative Lipid Content / -,0.33,0.02,45,-0.183,0.532,0.054,[0.05264628],0.331,0.03,34,-0.335,0.964,0.086,[0.08322117]
Mineral to Matrix Ratio v1/a1 / -,Crystallinity / -,0.116,0.06,45,-0.002,2.46e-04,4.2e-04,[0.00041382],0.36,0.03,34,-7.98e-04,0.002,3.9e-04,[0.00038236]
Mineral to Matrix Ratio v1/a1 / -,Mineral to Matrix Ratio v2/a3 / -,4.6e-07,0.45,45,0.19,0.385,0.034,[0.03358013],0.097,0.08,34,-0.027,0.311,0.046,[0.04416565]
Mineral to Matrix Ratio v1/a1 / -,Collagen dis/order / -,0.601,6.4e-03,45,-0.189,0.111,0.053,[0.05143483],0.041,0.12,34,0.007,0.302,0.04,[0.03856944]
Mineral to Matrix Ratio v1/a1 / -,Matrix maturity / -,0.785,1.8e-03,45,-0.212,0.161,0.066,[0.06418995],0.555,0.01,34,-0.268,0.147,0.056,[0.05411379]
Mineral to Matrix Ratio v1/a1 / -,Relative Pyridinoline Content / -,0.429,0.01,45,-0.001,6.22e-04,3.6e-04,[0.00035406],0.792,2.2e-03,34,-9.06e-04,0.001,2.8e-04,[0.00027191]
Mineral to Matrix Ratio v1/a1 / -,Relative Proteoglycan Content / -,0.903,3.6e-04,44,-0.018,0.016,0.006,[0.00570443],0.288,0.04,33,-0.029,0.009,0.005,[0.00489901]
Mineral to Matrix Ratio v1/a1 / -,Relative Lipid Content / -,0.822,1.2e-03,45,-0.172,0.137,0.054,[0.05320472],0.678,5.5e-03,34,-0.257,0.389,0.087,[0.08424627]
Crystallinity / -,Collagen dis/order / -,0.032,0.1,45,-74.1,-3.6,0.05,[0.04887437],0.038,0.13,34,-73.8,-2.2,0.04,[0.03848859]
Crystallinity / -,Matrix maturity / -,0.575,7.4e-03,45,-33.3,59.1,0.065,[0.06400971],0.663,6.0e-03,34,-39.5,61.3,0.056,[0.05425107]
Crystallinity / -,Relative Pyridinoline Content / -,0.676,4.1e-03,45,-0.311,0.203,3.6e-04,[0.00035594],0.404,0.02,34,-0.354,0.146,2.8e-04,[0.00026921]
Crystallinity / -,Relative Proteoglycan Content / -,0.01,0.15,44,1.3,9.0,0.005,[0.00526449],0.917,3.5e-04,33,-4.4,4.9,0.005,[0.00498965]
Crystallinity / -,Relative Lipid Content / -,0.942,1.2e-04,45,-37.0,39.8,0.054,[0.05323293],0.302,0.03,34,-37.4,117,0.086,[0.08305818]
Collagen dis/order / -,Matrix maturity / -,0.806,1.4e-03,45,-0.429,0.336,0.066,[0.06420095],0.424,0.02,34,-0.658,0.283,0.056,[0.05386459]
Collagen dis/order / -,Relative Pyridinoline Content / -,0.029,0.11,45,2.46e-04,0.004,3.4e-04,[0.00033715],0.066,0.1,34,-1.50e-04,0.004,2.7e-04,[0.00025802]
Collagen dis/order / -,Relative Proteoglycan Content / -,0.192,0.04,44,-0.055,0.011,0.006,[0.0055897],0.555,0.01,33,-0.058,0.032,0.005,[0.00496207]
Collagen dis/order / -,Relative Lipid Content / -,0.791,1.6e-03,45,-0.359,0.275,0.054,[0.05319243],0.348,0.03,34,-1.1,0.388,0.086,[0.0833047]
Relative Pyridinoline Content / -,Relative Proteoglycan Content / -,0.184,0.04,44,-8.1,1.6,0.006,[0.00558524],0.382,0.02,33,-9.4,3.7,0.005,[0.00492837]
Relative Pyridinoline Content / -,Relative Lipid Content / -,0.499,0.01,45,-61.1,30.2,0.054,[0.05295015],0.178,0.06,34,-182,35.1,0.085,[0.08207622]
Relative Proteoglycan Content / -,Relative Lipid Content / -,0.274,0.03,44,-1.3,4.5,0.054,[0.05303155],0.033,0.14,33,0.55,12.2,0.082,[0.07950859]
